分类,歌曲,难度,分支,体力,手速,爆发,节奏,复合,主定数
02 Anime,おしりの山はエベレスト,魔王(里),,9.01 ,4.71 ,10.54 ,4.61 ,11.87 ,8.98 
07 Game Music,指先からはじまる物語,魔王,,10.58 ,9.96 ,8.11 ,3.17 ,5.80 ,8.97 
02 Anime,快晴?上昇?ハレルーヤ,魔王,,5.76 ,7.62 ,10.42 ,8.02 ,10.62 ,8.96 
07 Game Music,MagiCatz,魔王,,7.71 ,2.92 ,9.36 ,9.40 ,9.85 ,8.95 
09 Namco Original,オール?イン?マイハート,魔王,,8.50 ,10.55 ,13.20 ,3.55 ,6.41 ,8.95 
09 Namco Original,風魔モジュール6768,魔王(里),,7.38 ,10.01 ,9.37 ,4.92 ,8.78 ,8.94 
09 Namco Original,私立高天原学園高校?校歌,魔王,,8.44 ,9.64 ,8.67 ,7.43 ,8.06 ,8.94 
09 Namco Original,ミンナノカキゴオリ,魔王,,6.17 ,7.28 ,9.51 ,8.97 ,9.93 ,8.93 
07 Game Music,業 -善なる神とこの世の悪について-,魔王,,8.44 ,10.37 ,8.09 ,5.82 ,7.63 ,8.93 
09 Namco Original,ソードバトラーズ,魔王(里),,6.20 ,5.60 ,10.12 ,8.96 ,11.18 ,8.92 
09 Namco Original,マジカル?パフェ,魔王,,6.33 ,1.27 ,8.37 ,7.95 ,11.97 ,8.92 
01 Pop,S,魔王,,5.22 ,10.57 ,9.37 ,5.36 ,9.47 ,8.90 
07 Game Music,Kamikaze Remix,魔王,,9.42 ,4.87 ,2.42 ,5.41 ,13.17 ,8.90 
09 Namco Original,OK I’m blue rat,魔王,,6.95 ,1.96 ,8.20 ,12.72 ,11.87 ,8.89 
09 Namco Original,LΔchesis,魔王,,7.81 ,10.30 ,7.97 ,3.79 ,8.48 ,8.89 
05 Variety,神々が恋した幻想郷,魔王,,11.70 ,4.17 ,1.67 ,1.92 ,12.55 ,8.87 
05 Variety,ネクロファンタジア ～ Arr.Demetori,魔王,,11.50 ,10.00 ,7.50 ,0.44 ,4.48 ,8.87 
09 Namco Original,SORA-I アースライズ,魔王,,4.15 ,1.03 ,8.43 ,9.49 ,11.63 ,8.87 
09 Namco Original,mint tears,魔王,,9.68 ,9.51 ,7.97 ,1.67 ,7.45 ,8.87 
06 Classical,千鼓千鼓,魔王,,8.36 ,4.45 ,6.46 ,7.07 ,12.30 ,8.86 
07 Game Music,PAC‐MAN CHAMPIONSHIP EDITION 2,魔王,,6.57 ,6.33 ,10.37 ,13.65 ,10.58 ,8.86 
09 Namco Original,Space-Time Emergency,魔王,,6.32 ,3.04 ,5.54 ,9.79 ,12.22 ,8.85 
05 Variety,BATTLE NO.1,魔王,玄人,8.71 ,10.39 ,12.34 ,5.41 ,5.98 ,8.85 
01 Pop,TT,魔王(里),,6.79 ,2.64 ,8.38 ,9.14 ,10.30 ,8.83 
09 Namco Original,ピコピコ ルイン,魔王,,8.57 ,10.22 ,7.85 ,1.75 ,7.78 ,8.82 
09 Namco Original,セイクリッド ルイン,魔王,,8.57 ,10.22 ,7.85 ,1.75 ,7.78 ,8.82 
07 Game Music,Sunset Runaway,魔王,,6.88 ,6.48 ,10.51 ,9.21 ,9.94 ,8.82 
07 Game Music,Aria,魔王,,11.21 ,9.71 ,7.50 ,1.07 ,5.33 ,8.82 
09 Namco Original,マオウのショウタイム,魔王,,9.11 ,10.26 ,9.46 ,1.78 ,6.21 ,8.81 
09 Namco Original,恋文2000,魔王,达人,10.17 ,10.53 ,8.67 ,1.98 ,3.75 ,8.80 
05 Variety,Hand Over (Prod. TEMPLIME),魔王,,4.33 ,1.08 ,9.24 ,13.92 ,5.92 ,8.80 
01 Pop,猫サンキュー,魔王,,8.59 ,10.40 ,8.38 ,1.87 ,6.74 ,8.79 
09 Namco Original,サタデー太鼓フィーバー,魔王(里),,4.42 ,0.74 ,8.08 ,9.44 ,11.44 ,8.78 
02 Anime,風たちの声,魔王,,4.79 ,2.83 ,7.50 ,14.05 ,5.78 ,8.77 
07 Game Music,IN THE ZONE,魔王,,10.08 ,8.37 ,7.88 ,3.07 ,7.84 ,8.76 
09 Namco Original,時空町3丁目,魔王,,8.52 ,10.01 ,10.61 ,6.79 ,5.12 ,8.76 
02 Anime,Smile! Smile! Smile!,魔王(里),,6.89 ,11.20 ,13.33 ,4.97 ,6.28 ,8.75 
09 Namco Original,ケチャドン2000,魔王,普通,6.71 ,1.43 ,9.41 ,6.98 ,11.86 ,8.73 
03 Vocaloid,おにぎりはどこかしら?,魔王,,8.54 ,8.90 ,8.43 ,7.16 ,8.19 ,8.73 
07 Game Music,Garakuta Doll Play,魔王,,7.80 ,1.95 ,10.36 ,4.95 ,13.18 ,8.73 
07 Game Music,SHOGYO MUJO,魔王,玄人,8.44 ,2.57 ,0.38 ,4.52 ,14.31 ,8.73 
09 Namco Original,一世風靡,魔王,玄人,5.23 ,4.84 ,9.25 ,11.66 ,8.01 ,8.71 
09 Namco Original,ツンデレCafeへようこそ☆,魔王,,3.45 ,1.11 ,8.46 ,11.81 ,8.85 ,8.70 
07 Game Music,The Windmill Song,魔王,,3.95 ,0.95 ,7.93 ,11.33 ,9.53 ,8.69 
02 Anime,God knows…,魔王(里),,7.83 ,3.74 ,8.34 ,5.58 ,11.55 ,8.69 
09 Namco Original,シャイニング☆アブラカタブラ,魔王,,7.78 ,3.80 ,9.11 ,5.37 ,11.74 ,8.68 
01 Pop,"Hello, Morning",魔王(里),,8.35 ,5.34 ,6.92 ,3.55 ,12.20 ,8.68 
09 Namco Original,最果の魔法使い,魔王,,7.09 ,7.87 ,9.52 ,5.64 ,10.32 ,8.68 
05 Variety,月と王子[Tatsunoshin Remix],魔王,,8.41 ,4.73 ,9.28 ,5.05 ,11.30 ,8.66 
09 Namco Original,∫ -integral-,魔王,,7.98 ,10.15 ,9.25 ,3.36 ,7.15 ,8.66 
09 Namco Original,ヤマタイ★ナイトパーティー,魔王,,8.23 ,10.30 ,8.08 ,3.46 ,6.87 ,8.66 
09 Namco Original,文明開化,魔王(里),普通,7.09 ,1.77 ,1.67 ,11.62 ,10.35 ,8.66 
01 Pop,お菓子刑事の歌,魔王,,7.70 ,2.66 ,8.23 ,11.84 ,13.50 ,8.65 
03 Vocaloid,どんちゃんしたい！,魔王,,9.15 ,10.26 ,8.49 ,3.27 ,5.51 ,8.65 
07 Game Music,KAGEKIYO,魔王(里),玄人,9.89 ,3.40 ,8.38 ,14.34 ,14.52 ,8.65 
07 Game Music,KAGEKIYO,魔王(里),达人,9.89 ,3.40 ,8.38 ,14.33 ,14.53 ,8.65 
07 Game Music,KAGEKIYO,魔王(里),普通,9.89 ,3.35 ,8.38 ,14.36 ,14.52 ,8.64 
05 Variety,Brain Power,魔王,,9.29 ,8.32 ,7.12 ,4.06 ,9.11 ,8.63 
06 Classical,メヌエット,魔王,,4.51 ,2.39 ,8.38 ,9.11 ,10.99 ,8.63 
09 Namco Original,ハイテンション☆暗記SHOW!,魔王,,8.47 ,10.06 ,7.97 ,2.42 ,6.96 ,8.63 
09 Namco Original,愛なんだぜ,魔王,,8.49 ,10.25 ,8.67 ,4.41 ,6.27 ,8.63 
05 Variety,ALiVE,魔王,,9.87 ,7.94 ,8.49 ,2.10 ,7.64 ,8.62 
07 Game Music,ピコピコ マッピー,魔王,,4.59 ,1.04 ,7.85 ,12.42 ,7.34 ,8.61 
02 Anime,ウルトラマンギンガの歌,魔王,,8.55 ,10.12 ,7.88 ,1.64 ,6.77 ,8.60 
01 Pop,オーバード,魔王(里),,8.16 ,3.59 ,14.60 ,13.41 ,11.58 ,8.60 
01 Pop,SPEED KING,魔王,,6.39 ,3.52 ,1.38 ,9.28 ,12.30 ,8.59 
03 Vocaloid,チルドレンレコード,魔王,,7.11 ,10.77 ,9.25 ,5.87 ,6.71 ,8.58 
09 Namco Original,フリフリ?ノリノリ?,魔王(里),,5.99 ,1.66 ,5.54 ,7.12 ,13.25 ,8.58 
03 Vocaloid,ドーナツホール,魔王,,6.76 ,4.56 ,11.66 ,8.25 ,10.69 ,8.56 
05 Variety,ドーナツホール,魔王,,6.76 ,4.56 ,11.66 ,8.25 ,10.69 ,8.56 
01 Pop,ANTI-HERO,魔王(里),,3.93 ,2.39 ,2.25 ,11.72 ,11.44 ,8.56 
09 Namco Original,そして勇者は眠りにつく,魔王,,2.37 ,10.16 ,11.00 ,9.22 ,4.84 ,8.56 
03 Vocaloid,＋♂ (プラス男子),魔王(里),,8.10 ,9.10 ,10.54 ,3.27 ,7.86 ,8.56 
06 Classical,聖者の行進,魔王,达人,4.91 ,0.95 ,3.55 ,10.76 ,11.75 ,8.54 
09 Namco Original,Extreme End,魔王,,9.22 ,4.29 ,11.42 ,5.84 ,13.56 ,8.54 
09 Namco Original,DIMENSIONS,魔王,,4.56 ,1.28 ,10.32 ,7.86 ,11.94 ,8.53 
03 Vocaloid,バイオレンストリガー,魔王,,7.68 ,10.43 ,8.88 ,3.45 ,6.63 ,8.53 
09 Namco Original,雲の彼方の大地の風,魔王,,3.12 ,0.89 ,9.02 ,9.70 ,10.74 ,8.53 
02 Anime,XY&Z,魔王,,6.18 ,2.02 ,11.23 ,7.17 ,12.50 ,8.52 
03 Vocaloid,カンタービレ×パッシオーネ,魔王(里),,9.00 ,5.33 ,2.84 ,3.71 ,12.71 ,8.52 
09 Namco Original,食らいむ！まうんとぱふぇ,魔王,,8.20 ,10.09 ,7.93 ,5.34 ,6.57 ,8.51 
09 Namco Original,Xa,魔王,,8.31 ,2.12 ,8.63 ,4.41 ,11.32 ,8.51 
09 Namco Original,おもちでマンボ,魔王(里),玄人,7.13 ,0.63 ,8.08 ,8.48 ,9.67 ,8.50 
03 Vocaloid,六兆年と一夜物語,魔王,,9.51 ,10.11 ,7.85 ,1.84 ,4.76 ,8.50 
01 Pop,イガク,魔王(里),,9.29 ,8.65 ,11.87 ,3.89 ,6.69 ,8.50 
07 Game Music,たのしい太鼓道場,魔王,,8.03 ,10.02 ,8.20 ,3.43 ,6.79 ,8.49 
07 Game Music,マサカリブレイド,魔王,,7.70 ,6.90 ,11.22 ,9.76 ,7.21 ,8.47 
07 Game Music,Unwelcome School (MRM REMIX),魔王,,9.91 ,8.46 ,8.08 ,4.09 ,6.38 ,8.47 
01 Pop,Daddy's Style -今夜はダディダディ-,魔王(里),,8.87 ,10.31 ,12.75 ,4.08 ,2.44 ,8.47 
09 Namco Original,亜空間遊泳ac12.5,魔王,,5.91 ,3.79 ,5.24 ,8.84 ,11.85 ,8.46 
09 Namco Original,河童の皿はこんなにも,魔王,,7.62 ,9.60 ,12.58 ,6.85 ,6.41 ,8.46 
09 Namco Original,鳳凰天舞無限崩れ,魔王,,9.12 ,8.26 ,10.12 ,4.43 ,7.36 ,8.45 
07 Game Music,ジ?アルティメット,魔王,,9.20 ,2.15 ,8.21 ,6.71 ,9.08 ,8.45 
09 Namco Original,デザートde焼肉（サハラ編）,魔王,,5.37 ,0.49 ,7.92 ,8.38 ,10.74 ,8.45 
07 Game Music,Good-bye my earth,魔王,,5.75 ,4.22 ,9.72 ,10.22 ,8.52 ,8.44 
09 Namco Original,秋竜 ～Shiuryu～,魔王,,8.07 ,10.39 ,8.32 ,2.41 ,5.93 ,8.43 
01 Pop,twinkle night (feat. somunia),魔王(里),,10.56 ,8.55 ,12.22 ,4.66 ,3.03 ,8.43 
09 Namco Original,ぷるぷるしんぷる,魔王,,6.13 ,2.33 ,7.50 ,11.87 ,6.43 ,8.41 
07 Game Music,Wasabi Body Blow,魔王,,10.88 ,8.96 ,7.50 ,1.91 ,4.27 ,8.41 
07 Game Music,チェインクロニクル 最終決戦メドレー,魔王(里),,10.73 ,8.20 ,10.52 ,1.60 ,4.75 ,8.39 
07 Game Music,Rising,魔王,,4.24 ,3.07 ,8.65 ,11.08 ,8.24 ,8.38 
05 Variety,Dreadnought,魔王,,7.46 ,10.29 ,8.26 ,3.62 ,6.56 ,8.37 
01 Pop,ぶぎ ぶぎ ふなっしー?,魔王,,8.63 ,9.06 ,11.62 ,5.96 ,6.27 ,8.36 
09 Namco Original,零の夜想曲,魔王(里),,7.38 ,2.38 ,1.26 ,9.69 ,10.93 ,8.36 
09 Namco Original,Soulway,魔王,普通,8.99 ,10.21 ,8.29 ,3.15 ,4.41 ,8.36 
09 Namco Original,Soulway,魔王,玄人,8.99 ,10.21 ,8.29 ,3.15 ,4.41 ,8.36 
09 Namco Original,六本の薔薇と采の歌,魔王(里),玄人,8.74 ,8.82 ,8.96 ,6.75 ,6.56 ,8.35 
03 Vocaloid,ストリーミングハート,魔王,,8.30 ,8.81 ,9.25 ,3.78 ,7.43 ,8.35 
07 Game Music,華蕾夢ミル狂詩曲～魂ノ導～,魔王(里),,9.70 ,8.62 ,7.73 ,1.31 ,6.24 ,8.35 
05 Variety,やわらか戦車,魔王(里),,13.30 ,3.05 ,0.70 ,0.58 ,9.32 ,8.35 
01 Pop,RYDEEN,魔王(里),,8.57 ,3.66 ,9.51 ,6.99 ,9.05 ,8.34 
02 Anime,青空のラプソディ,魔王,,5.21 ,0.71 ,0.01 ,8.54 ,13.14 ,8.34 
07 Game Music,Comona,魔王,,5.66 ,7.38 ,9.07 ,6.44 ,10.24 ,8.34 
09 Namco Original,傾奇者、罷り通る！,魔王,,7.66 ,2.85 ,9.31 ,5.64 ,10.71 ,8.33 
09 Namco Original,SAKURA EXHAUST,魔王,,9.23 ,8.89 ,7.03 ,0.63 ,7.47 ,8.33 
09 Namco Original,オフ?ロック,魔王,,3.90 ,0.26 ,0.61 ,12.27 ,10.32 ,8.31 
09 Namco Original,狂瀾怒濤,魔王,,7.14 ,3.19 ,8.24 ,7.27 ,9.95 ,8.30 
07 Game Music,トンデモワンダーズ,魔王,,9.55 ,8.30 ,7.55 ,1.42 ,6.77 ,8.28 
09 Namco Original,ケチャドン2000,魔王,玄人,6.01 ,2.23 ,10.34 ,6.26 ,11.39 ,8.28 
07 Game Music,オーバーマスター,魔王(里),,8.21 ,9.32 ,7.03 ,1.08 ,7.84 ,8.27 
02 Anime,オーブの祈り,魔王,,11.18 ,4.46 ,2.85 ,1.43 ,10.66 ,8.25 
09 Namco Original,聖徳たいこの「日いずるまで飛鳥」,魔王,达人,7.33 ,7.10 ,8.67 ,5.96 ,9.60 ,8.25 
03 Vocaloid,Fallen Angel,魔王,,11.13 ,7.20 ,4.70 ,0.94 ,8.24 ,8.25 
01 Pop,はいよろこんで,魔王(里),,6.26 ,1.68 ,9.05 ,8.69 ,9.27 ,8.24 
09 Namco Original,Wavy Baby,魔王,,5.73 ,10.78 ,9.25 ,4.72 ,6.80 ,8.24 
07 Game Music,Rat A Tat!!!,魔王(里),,8.28 ,10.05 ,8.20 ,1.71 ,5.43 ,8.24 
07 Game Music,Star!!,魔王(里),,7.53 ,9.50 ,7.14 ,0.69 ,8.05 ,8.24 
09 Namco Original,ケチャドン2000,魔王,达人,6.73 ,0.94 ,7.92 ,8.16 ,9.44 ,8.23 
09 Namco Original,ヘイラ,魔王,,5.02 ,7.88 ,9.83 ,7.62 ,8.52 ,8.21 
09 Namco Original,ヘイラ,魔王,,5.02 ,7.88 ,9.83 ,7.62 ,8.52 ,8.21 
05 Variety,千本桜 ver.小林幸子,魔王(里),,6.51 ,3.81 ,8.99 ,4.66 ,11.54 ,8.19 
09 Namco Original,The Carnivorous Carnival,魔王,,11.03 ,6.88 ,4.85 ,2.43 ,8.28 ,8.19 
05 Variety,サクラ?シークレット,魔王,,7.37 ,7.53 ,11.01 ,6.46 ,8.75 ,8.18 
09 Namco Original,ねこくじら,魔王(里),,7.90 ,7.35 ,9.25 ,6.12 ,8.62 ,8.17 
09 Namco Original,ヒカリノカナタヘ -Long Version-,魔王,,9.99 ,2.19 ,0.23 ,4.89 ,11.50 ,8.16 
09 Namco Original,歌劇「リコレクトブルー」,魔王,,8.48 ,10.07 ,7.70 ,0.84 ,4.85 ,8.16 
03 Vocaloid,夜咄ディセイブ,魔王,,4.28 ,0.97 ,8.38 ,8.70 ,10.15 ,8.16 
07 Game Music,Heat Haze Shadow 2,魔王,,10.81 ,8.60 ,6.11 ,0.10 ,5.54 ,8.15 
09 Namco Original,迅風丸,魔王(里),,8.70 ,3.00 ,0.67 ,3.98 ,12.57 ,8.13 
02 Anime,なめこのうた,魔王(里),,9.93 ,8.05 ,7.52 ,1.56 ,5.72 ,8.12 
09 Namco Original,魔方陣 -サモン?デルタ-,魔王,,3.69 ,1.34 ,7.41 ,11.22 ,7.60 ,8.10 
09 Namco Original,マリオネットピュア,魔王,,6.84 ,1.33 ,8.49 ,7.12 ,9.79 ,8.09 
09 Namco Original,マリオネットピュア,魔王,,6.84 ,1.33 ,8.49 ,7.12 ,9.79 ,8.09 
07 Game Music,スプラトゥーン2 メドレー,魔王(里),,9.62 ,8.12 ,9.63 ,5.40 ,5.25 ,8.09 
05 Variety,ジャンボリミッキー！,魔王(里),,7.31 ,2.38 ,9.51 ,5.64 ,10.35 ,8.09 
01 Pop,アポロ,魔王(里),,9.28 ,9.07 ,8.09 ,1.43 ,4.83 ,8.08 
09 Namco Original,毒LOＣＡＮdy?,魔王,,7.76 ,6.15 ,7.88 ,5.52 ,9.55 ,8.08 
07 Game Music,RIDGE RACER STEPS -GMT remix-,魔王,,3.14 ,4.08 ,7.50 ,11.76 ,6.23 ,8.08 
02 Anime,青空のラプソディ,魔王(里),,4.82 ,0.81 ,0.42 ,10.50 ,11.00 ,8.07 
02 Anime,ドキメキダイアリー,魔王(里),,10.03 ,9.08 ,7.87 ,1.92 ,2.94 ,8.07 
06 Classical,トルコ行進曲,魔王(里),,8.67 ,1.69 ,0.38 ,2.62 ,13.04 ,8.07 
05 Variety,チルノのパーフェクトさんすう教室 ⑨周年バージョン,魔王,,8.88 ,7.47 ,8.30 ,4.28 ,7.33 ,8.06 
07 Game Music,Day of the future,魔王,,8.68 ,4.93 ,3.58 ,3.30 ,11.82 ,8.05 
09 Namco Original,須佐之男,魔王,,8.24 ,9.38 ,8.37 ,3.66 ,5.70 ,8.05 
09 Namco Original,タベルナ2000,魔王,,9.75 ,7.68 ,5.41 ,2.05 ,8.25 ,8.04 
09 Namco Original,白猫きゃらめる夢幻のわたあめ,魔王(里),,10.37 ,1.86 ,0.14 ,3.35 ,11.37 ,8.02 
01 Pop,バブリー革命 ～ばんばんバブル～,魔王(里),,10.10 ,4.26 ,6.03 ,3.23 ,9.64 ,8.01 
01 Pop,シン?ゾンビ,魔王,普通,9.66 ,8.95 ,7.51 ,2.75 ,4.01 ,8.01 
01 Pop,シン?ゾンビ,魔王,玄人,9.66 ,8.95 ,7.51 ,2.75 ,4.01 ,8.01 
02 Anime,Switch On!,魔王(里),,7.71 ,9.64 ,8.08 ,3.69 ,5.88 ,8.01 
09 Namco Original,エール?エクス?マキナ！,魔王,,8.54 ,8.88 ,6.68 ,1.84 ,7.24 ,8.01 
01 Pop,華振舞,魔王,,8.16 ,6.63 ,11.03 ,5.08 ,8.37 ,8.01 
09 Namco Original,夜櫻ブレヰダアズ,魔王,,5.39 ,6.62 ,7.53 ,6.08 ,10.29 ,8.00 
01 Pop,ギミチョコ！！,魔王,,7.75 ,7.64 ,9.83 ,7.58 ,7.75 ,7.99 
09 Namco Original,Time to dine,魔王,,7.76 ,3.56 ,9.64 ,4.58 ,10.22 ,7.99 
03 Vocaloid,ギガンティックO.T.N,魔王,,8.58 ,8.18 ,8.13 ,2.52 ,6.76 ,7.98 
07 Game Music,Synthesis.,魔王,,7.75 ,8.21 ,11.31 ,6.24 ,7.03 ,7.98 
07 Game Music,Leviathan,魔王,,7.90 ,9.71 ,7.87 ,2.06 ,5.49 ,7.98 
09 Namco Original,うそうそ時,魔王,,6.64 ,3.53 ,2.85 ,9.27 ,10.23 ,7.97 
07 Game Music,arcadia,魔王,,8.67 ,8.96 ,7.57 ,2.70 ,5.60 ,7.97 
09 Namco Original,トラストゲーム,魔王,,6.36 ,9.94 ,8.27 ,3.22 ,6.74 ,7.97 
03 Vocaloid,ラヴィ,魔王,,7.23 ,10.04 ,8.94 ,1.24 ,5.60 ,7.96 
02 Anime,Touch off,魔王,,5.84 ,10.09 ,14.50 ,4.36 ,5.78 ,7.96 
01 Pop,スカッとばあちゃんの歌,魔王,,6.13 ,3.40 ,10.12 ,9.91 ,6.91 ,7.95 
09 Namco Original,聖徳たいこの「日いずるまで飛鳥」,魔王,玄人,7.30 ,7.03 ,8.67 ,6.05 ,8.85 ,7.95 
01 Pop,泥の分際で私だけの大切を奪おうだなんて,魔王,,7.22 ,6.70 ,10.12 ,5.61 ,9.05 ,7.95 
07 Game Music,あめふりのロンド,魔王,,3.56 ,8.88 ,11.00 ,8.05 ,5.89 ,7.94 
03 Vocaloid,ロストアンブレラ,魔王(里),,11.03 ,4.19 ,11.86 ,5.27 ,13.45 ,7.94 
09 Namco Original,クロス?ブルー,魔王,,8.85 ,8.31 ,7.50 ,6.00 ,4.80 ,7.93 
07 Game Music,KARMA(Tatsujin Mix),魔王,,8.50 ,2.10 ,1.10 ,5.18 ,11.89 ,7.92 
07 Game Music,KAGEKIYO,魔王,,4.75 ,0.27 ,0.00 ,8.91 ,11.95 ,7.92 
09 Namco Original,3piece-JazzParty!,魔王,,6.55 ,5.35 ,4.98 ,6.74 ,11.16 ,7.91 
09 Namco Original,天狗囃子,魔王,,4.64 ,10.03 ,9.31 ,4.51 ,7.57 ,7.91 
02 Anime,ヒカリアレ,魔王,,10.03 ,8.68 ,7.03 ,0.58 ,3.94 ,7.91 
09 Namco Original,ナマハゲノウタ,魔王,,8.08 ,9.04 ,6.57 ,0.81 ,7.24 ,7.90 
07 Game Music,自分REST@RT,魔王(里),,10.07 ,7.86 ,5.41 ,2.44 ,7.03 ,7.89 
07 Game Music,自分REST@RT,魔王(里),,10.07 ,7.86 ,5.41 ,2.44 ,7.03 ,7.89 
09 Namco Original,聖徳たいこの「日いずるまで飛鳥」,魔王,普通,7.27 ,7.12 ,8.67 ,5.81 ,8.61 ,7.87 
05 Variety,Shining Lights (feat. PSYQUI),魔王,,7.51 ,10.46 ,11.87 ,2.79 ,2.18 ,7.87 
09 Namco Original,ヒカリノカナタヘ,魔王,,8.62 ,2.19 ,0.23 ,5.92 ,11.28 ,7.86 
09 Namco Original,よくでる2000,魔王,,7.03 ,10.13 ,7.85 ,1.66 ,5.42 ,7.86 
01 Pop,キミがいる,魔王,,4.05 ,3.16 ,1.90 ,8.69 ,11.77 ,7.85 
03 Vocaloid,future beat,魔王,,6.38 ,2.29 ,8.95 ,6.85 ,9.60 ,7.85 
09 Namco Original,大空と太鼓の踊り,魔王,,10.83 ,6.04 ,4.12 ,2.94 ,8.25 ,7.84 
09 Namco Original,DON'T CUT,魔王(里),,8.98 ,7.13 ,5.17 ,2.03 ,8.98 ,7.84 
02 Anime,閃光,魔王,,5.39 ,10.04 ,9.13 ,5.40 ,6.73 ,7.84 
06 Classical,練習曲Op.10-4,魔王,,9.67 ,7.92 ,6.83 ,2.65 ,5.82 ,7.83 
09 Namco Original,隼,魔王,,8.16 ,10.01 ,7.85 ,3.55 ,2.40 ,7.83 
09 Namco Original,GO GET'EM!,魔王,,6.32 ,2.19 ,0.46 ,5.48 ,12.83 ,7.83 
09 Namco Original,Emma,魔王(里),普通,7.62 ,6.85 ,4.82 ,4.35 ,10.43 ,7.83 
03 Vocaloid,みむかゥわナイストライ,魔王(里),,5.87 ,7.68 ,8.03 ,6.59 ,8.57 ,7.82 
07 Game Music,SAMURAI ROCKET,魔王(里),,6.58 ,0.94 ,0.02 ,6.65 ,12.22 ,7.81 
07 Game Music,DESERT STORM,魔王,,4.07 ,0.33 ,2.57 ,11.59 ,8.98 ,7.81 
09 Namco Original,ナイトメア?サバイバー,魔王,,5.91 ,2.78 ,1.67 ,9.29 ,10.37 ,7.79 
07 Game Music,負け犬返上,魔王,玄人,5.18 ,2.06 ,8.03 ,9.26 ,8.06 ,7.78 
05 Variety,Grip & Break down !! -達人Edit.-,魔王(里),,8.44 ,5.33 ,2.83 ,4.89 ,10.55 ,7.78 
09 Namco Original,ラパスの虹,魔王,,5.94 ,5.17 ,10.49 ,10.45 ,5.25 ,7.77 
01 Pop,Surges,魔王,,2.24 ,0.54 ,0.85 ,11.34 ,10.06 ,7.76 
09 Namco Original,Blue Rose Ruin,魔王,,10.15 ,7.94 ,7.79 ,1.69 ,3.25 ,7.76 
09 Namco Original,螺旋周回軌道,魔王,,4.39 ,0.90 ,0.09 ,8.34 ,12.04 ,7.75 
07 Game Music,Lightning Dance,魔王,,5.20 ,1.20 ,7.14 ,10.32 ,6.73 ,7.74 
07 Game Music,オパ！オパ！RACER -GMT mashup-,魔王,,7.89 ,7.14 ,5.63 ,7.92 ,7.34 ,7.74 
09 Namco Original,スリケンランナー,魔王,,8.34 ,8.05 ,7.80 ,4.08 ,6.25 ,7.73 
03 Vocaloid,カゲロウデイズ,魔王(里),,8.36 ,7.70 ,8.67 ,4.66 ,6.51 ,7.72 
06 Classical,ラ?カンパネラ,魔王(里),,7.50 ,2.24 ,5.50 ,6.67 ,10.04 ,7.72 
09 Namco Original,月影SASURAI,魔王(里),,5.74 ,1.04 ,0.03 ,7.94 ,11.61 ,7.71 
09 Namco Original,Day by Day!,魔王(里),,7.51 ,4.30 ,8.37 ,7.27 ,7.91 ,7.71 
09 Namco Original,龍脈の王,魔王,,8.47 ,3.83 ,9.79 ,2.40 ,9.18 ,7.70 
09 Namco Original,時空庁時空1課,魔王,,10.60 ,7.67 ,7.50 ,1.03 ,1.83 ,7.70 
02 Anime,H.T,魔王,,7.31 ,9.23 ,8.43 ,3.55 ,5.68 ,7.69 
03 Vocaloid,人生リセットボタン,魔王,,7.89 ,7.85 ,8.67 ,4.31 ,6.75 ,7.67 
09 Namco Original,激運！七福ハッピークルー,魔王,,9.02 ,7.64 ,8.18 ,3.87 ,5.53 ,7.67 
09 Namco Original,Beat Again,魔王,,4.52 ,1.13 ,7.50 ,10.19 ,6.97 ,7.66 
09 Namco Original,タイコタイム,魔王,玄人,6.62 ,1.51 ,5.17 ,10.90 ,6.19 ,7.64 
03 Vocaloid,ハッピーシンセサイザ,魔王(里),,5.74 ,0.43 ,0.00 ,6.09 ,12.55 ,7.64 
03 Vocaloid,天ノ弱,魔王,,7.86 ,8.02 ,8.96 ,4.71 ,6.40 ,7.64 
09 Namco Original,電子ドラムの達人,魔王,,9.32 ,8.63 ,6.57 ,2.00 ,4.57 ,7.64 
06 Classical,ヘ調の協奏曲 第3楽章,魔王,,6.73 ,1.50 ,9.13 ,6.89 ,8.75 ,7.63 
09 Namco Original,ドドンガド～ン,魔王,,8.31 ,7.27 ,8.67 ,3.40 ,6.72 ,7.60 
09 Namco Original,Freeway3234,魔王,,4.33 ,1.72 ,0.18 ,9.53 ,10.58 ,7.59 
07 Game Music,Abandoned Temple Final 2nd,魔王,,6.71 ,4.10 ,12.82 ,11.49 ,13.54 ,7.58 
01 Pop,神様の言うとおりに,魔王(里),,7.67 ,5.29 ,11.11 ,8.11 ,5.97 ,7.57 
03 Vocaloid,BORDERLESS,魔王,,6.49 ,10.00 ,7.73 ,0.56 ,5.04 ,7.56 
09 Namco Original,きたさいたま200,魔王,,7.83 ,7.35 ,6.94 ,2.42 ,7.39 ,7.56 
02 Anime,Heavenly Visitor,魔王(里),,8.76 ,8.57 ,7.97 ,0.98 ,4.04 ,7.54 
09 Namco Original,ドキドキ胸きゅん おまつりタイム,魔王,,4.60 ,5.81 ,9.37 ,10.02 ,5.31 ,7.54 
09 Namco Original,MATSURI D／A,魔王,,3.77 ,0.82 ,8.24 ,8.80 ,8.65 ,7.54 
09 Namco Original,零の狂詩曲,魔王,,8.19 ,9.35 ,7.68 ,0.79 ,3.49 ,7.54 
